"Retrieval Model", "Evaluation Metric", "Value"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "MAP", "0.21336282471907916"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "MRR", "0.8250457875457877"

"Retrieval Model", "Evaluation Metric", "Query", "Value"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "43", "0.35"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "44", "0.45"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "45", "0.5"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "48", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "49", "0.25"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "57", "0.05"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "58", "0.5"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "59", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "60", "0.65"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "61", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "62", "0.25"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "63", "0.5"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "64", "0.05"

"Retrieval Model", "Query", "Rank", "Precision", "Recall"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "1", "0", "0"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "2", "0.5", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "3", "0.3333333333333333", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "4", "0.5", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "5", "0.4", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "6", "0.3333333333333333", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "7", "0.2857142857142857", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "8", "0.25", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "9", "0.2222222222222222", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "10", "0.2", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "11", "0.18181818181818182", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "12", "0.16666666666666666", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "13", "0.15384615384615385", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "14", "0.14285714285714285", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "15", "0.13333333333333333", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "16", "0.125", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "17", "0.11764705882352941", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "18", "0.1111111111111111", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "19", "0.10526315789473684", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "20", "0.1", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "21", "0.09523809523809523", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "22", "0.09090909090909091", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "23", "0.13043478260869565", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "24", "0.125", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "25", "0.12", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "26", "0.11538461538461539", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "27", "0.1111111111111111", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "28", "0.10714285714285714", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "29", "0.10344827586206896", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "30", "0.1", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "31", "0.0967741935483871", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "32", "0.09375", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "33", "0.09090909090909091", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "34", "0.08823529411764706", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "35", "0.08571428571428572", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "36", "0.08333333333333333", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "37", "0.08108108108108109", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "38", "0.07894736842105263", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "39", "0.07692307692307693", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "40", "0.075", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "41", "0.07317073170731707", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "42", "0.07142857142857142", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "43", "0.06976744186046512", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "44", "0.06818181818181818", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "45", "0.06666666666666667", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "46", "0.06521739130434782", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "47", "0.06382978723404255", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "48", "0.0625", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "49", "0.061224489795918366", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "50", "0.06", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "51", "0.058823529411764705", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "52", "0.057692307692307696", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "53", "0.07547169811320754", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "54", "0.07407407407407407", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "55", "0.07272727272727272", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "56", "0.07142857142857142", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "57", "0.07017543859649122", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "58", "0.06896551724137931", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "59", "0.06779661016949153", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "60", "0.06666666666666667", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "61", "0.06557377049180328", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "62", "0.06451612903225806", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "63", "0.06349206349206349", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "64", "0.0625", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "65", "0.06153846153846154", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "66", "0.06060606060606061", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "67", "0.05970149253731343", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "68", "0.058823529411764705", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "69", "0.057971014492753624", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "70", "0.05714285714285714", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "71", "0.056338028169014086", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "72", "0.05555555555555555", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "73", "0.0547945205479452", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "74", "0.05405405405405406", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "75", "0.05333333333333334", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "76", "0.05263157894736842", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "77", "0.05194805194805195", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "78", "0.05128205128205128", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "79", "0.05063291139240506", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "80", "0.05", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "81", "0.04938271604938271", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "82", "0.04878048780487805", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "83", "0.04819277108433735", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "84", "0.047619047619047616", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "85", "0.047058823529411764", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "86", "0.046511627906976744", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "87", "0.04597701149425287", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "88", "0.045454545454545456", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "89", "0.0449438202247191", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "90", "0.044444444444444446", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "91", "0.04395604395604396", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "92", "0.043478260869565216", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "93", "0.043010752688172046", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "94", "0.0425531914893617", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "95", "0.042105263157894736", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "96", "0.041666666666666664", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "97", "0.041237113402061855", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "98", "0.04081632653061224", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "99", "0.04040404040404041", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "1", "100", "0.04", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "1", "1", "0.3333333333333333"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "2", "1", "0.6666666666666666"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "3", "1", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "4", "0.75", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "5", "0.6", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "6", "0.5", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "2", "7", "0.42857142857142855", "1"
